kit_number,player_name,position,nationality,height,foot,joined,signed_from,contract,market_value,club_name,birth_date,age
4,Syaeful Anwar,Centre-Back,Indonesia,1.84,right,2022-04-27,Persita Tangerang,2024,2175.0,Arema FC,1994-12-01,28.0
5,Bagas Adi,Centre-Back,Indonesia,1.76,left,2020-01-07,Bhayangkara FC,-,3480.0,Arema FC,1997-03-08,26.0
7,Ariel Lucero,Attacking Midfield,Argentina,1.7,left,2023-07-01,Club Atlético All Boys,-,4350.0,Arema FC,1999-04-16,24.0
8,Arkhan Fikri,Attacking Midfield,Indonesia,1.65,right,2022-06-15,PS Kwarta Deli Serdang,-,2610.0,Arema FC,2004-12-28,18.0
9,Evan Dimas,Central Midfield,Indonesia,1.67,both,2022-04-01,Bhayangkara FC,-,4350.0,Arema FC,1995-03-13,28.0
10,Muhammad Rafli,Attacking Midfield,Indonesia,1.8,both,2016-07-01,ASIFA,-,3915.0,Arema FC,1998-11-24,24.0
11,Charles Lokolingoy,Centre-Forward,Australia,1.88,right,2023-07-01,Zebbug Rangers FC,-,5220.0,Arema FC,1997-03-02,26.0
12,Rifad Marasabessy,Right-Back,Indonesia,1.68,right,2023-07-01,Borneo FC Samarinda,-,3045.0,Arema FC,1999-07-07,23.0
14,Jayus Hariono,Defensive Midfield,Indonesia,1.74,right,2018-01-01,Persekam Metro FC,-,3045.0,Arema FC,1997-01-27,26.0
15,Ichaka Diarra,Centre-Back,Mali,1.92,left,2023-07-01,Al-Ansar FC,-,4785.0,Arema FC,1995-01-18,28.0
17,Ginanjar,Centre-Forward,Indonesia,1.79,right,2023-07-01,Persija Jakarta,30-Jun-24,1740.0,Arema FC,2003-11-20,19.0
18,Julian Schwarzer,Goalkeeper,Philippines,1.81,-,2023-07-20,Kuching City,-,1740.0,Arema FC,1999-10-26,23.0
19,Achmad Syarif,Attacking Midfield,Indonesia,1.82,right,2023-07-01,Persija Jakarta,30-Jun-24,870.0,Arema FC,2003-04-24,20.0
23,Teguh Amiruddin,Goalkeeper,Indonesia,1.83,right,2020-01-21,TIRA-Persikabo,-,1305.0,Arema FC,1993-08-13,29.0
25,Asyraq Gufron,Centre-Back,Indonesia,1.75,right,2023-07-01,Bhayangkara FC,-,1740.0,Arema FC,1996-02-09,27.0
26,Achmad Figo,Right-Back,Indonesia,1.85,both,2021-08-01,Arema FC Youth,31-Dec-23,2175.0,Arema FC,2001-12-25,21.0
27,Dedik Setiawan,Centre-Forward,Indonesia,1.77,right,2016-09-25,Persekam Metro FC,-,3480.0,Arema FC,1994-06-27,29.0
28,Seiya Da Costa,Defensive Midfield,Indonesia,1.77,right,2023-07-12,Arema FC Youth,-,870.0,Arema FC,2001-09-30,21.0
29,Adixi Lenzivio,Goalkeeper,Indonesia,1.72,right,2023-07-01,PSMS Medan,-,1305.0,Arema FC,1992-09-29,30.0
41,Dendi Santoso,Right Winger,Indonesia,1.72,both,2013-07-01,Arema Indonesia,-,2175.0,Arema FC,1990-05-16,33.0
58,Mikael Tata,Left-Back,Indonesia,1.74,left,2023-07-01,Waanal Brothers FC,-,870.0,Arema FC,2004-05-10,19.0
66,Gufroni Al Maruf,Right Winger,Indonesia,1.72,right,2023-07-13,Dewa United,2024,2175.0,Arema FC,1997-07-19,26.0
79,Hamdi Sula,Right-Back,Indonesia,1.7,right,2023-07-01,PSMS Medan,-,1305.0,Arema FC,1997-11-03,25.0
86,Greg Nwokolo,Left Winger,Indonesia,1.75,right,2023-07-20,Without Club,-,1740.0,Arema FC,1986-01-03,37.0
87,Johan Alfarizi,Left-Back,Indonesia,1.73,left,2013-07-01,Arema Indonesia,-,3045.0,Arema FC,1990-05-25,33.0
97,Samsudin,Right Winger,Indonesia,1.67,right,2023-07-01,Deltras FC,-,1740.0,Arema FC,1997-03-27,26.0
1,Adilson Maringá,Goalkeeper,Brazil,1.94,right,2023-07-01,Arema FC,-,5220.0,Bali United FC,1990-08-22,32.0
2,Ardi Idrus,Right-Back,Indonesia,1.65,both,2022-05-10,PERSIB Bandung,-,3045.0,Bali United FC,1993-01-22,30.0
4,Elias Dolah,Centre-Back,Thailand,1.96,right,2023-07-01,Port FC,31-May-24,4350.0,Bali United FC,1993-04-24,30.0
5,Haudi Abdillah,Centre-Back,Indonesia,1.8,right,2019-01-12,PSIS Semarang,-,3045.0,Bali United FC,1993-04-20,30.0
7,Sidik Saimima,Central Midfield,Indonesia,1.65,right,2020-01-06,PSS Sleman,2024,2175.0,Bali United FC,1997-06-04,26.0
9,Ilija Spasojević,Centre-Forward,Indonesia,1.87,both,2017-12-13,Bhayangkara FC,31-Dec-23,5220.0,Bali United FC,1987-09-11,35.0
10,Éber Bessa,Attacking Midfield,Brazil,1.66,right,2021-09-08,CD Nacional,-,6090.0,Bali United FC,1992-03-21,31.0
11,Yabes Roni,Left Winger,Indonesia,1.68,both,2015-01-13,Without Club,-,3045.0,Bali United FC,1995-02-06,28.0
13,Rakasurya Handika,Goalkeeper,Indonesia,1.8,right,2019-01-01,Bali United FC Youth,-,870.0,Bali United FC,2000-06-13,23.0
14,Fadil Sausu,Central Midfield,Indonesia,1.74,left,2015-01-13,Persisam Putra Samarinda (- 2014),2024,870.0,Bali United FC,1985-04-19,38.0
17,Taufik Hidayat,Centre-Forward,Indonesia,1.79,right,2023-07-01,Madura United FC,-,2175.0,Bali United FC,1999-12-16,23.0
18,Kadek Agung,Attacking Midfield,Indonesia,1.7,right,2018-01-18,Bali United FC Youth,-,3045.0,Bali United FC,1998-06-25,25.0
22,Novri Setiawan,Right-Back,Indonesia,1.73,both,2022-05-10,Persija Jakarta,-,3045.0,Bali United FC,1993-11-11,29.0
23,Ryuji Utomo,Centre-Back,Indonesia,1.83,right,2023-01-11,Persija Jakarta,-,3915.0,Bali United FC,1995-07-01,28.0
24,Ricky Fajrin,Left-Back,Indonesia,1.77,left,2015-01-13,Without Club,-,4785.0,Bali United FC,1995-09-06,27.0
26,Komang Tri Arta,Centre-Back,Indonesia,1.81,right,2020-07-23,Bali United FC Youth,31-Dec-23,1740.0,Bali United FC,2001-09-30,21.0
33,Made Andhika,Right-Back,Indonesia,1.73,right,2016-07-28,Bali United FC Youth,2024,3045.0,Bali United FC,1996-07-12,26.0
37,Privat Mbarga,Right Winger,Cameroon,1.71,right,2021-12-24,Svay Rieng,-,6090.0,Bali United FC,1992-01-07,31.0
41,Irfan Jaya,Right Winger,Indonesia,1.62,right,2022-01-06,PSS Sleman,-,3915.0,Bali United FC,1996-05-01,27.0
44,Kadek Arel,Centre-Back,Indonesia,1.85,right,2023-01-01,Bali United FC Youth,-,435.0,Bali United FC,2005-04-04,18.0
47,Rahmat Arjuna,Right Winger,Indonesia,1.71,-,2022-12-01,Bali United FC Youth,-,435.0,Bali United FC,2004-04-30,19.0
55,Made Tito,Defensive Midfield,Indonesia,1.66,right,2022-07-01,Bali United FC Youth,-,1305.0,Bali United FC,2003-07-31,19.0
66,Gede Agus,Left-Back,Indonesia,1.75,left,2021-02-24,Bali United FC Youth,-,870.0,Bali United FC,2002-06-01,21.0
67,Komang Aryantara,Goalkeeper,Indonesia,1.81,right,2022-04-25,Bali United FC Youth,-,174.0,Bali United FC,2005-04-01,18.0
73,Jajang Mulyana,Centre-Back,Indonesia,1.82,right,2022-05-09,Bhayangkara FC,2024,1305.0,Bali United FC,1988-10-23,34.0
74,Mohammed Rashid,Defensive Midfield,Palestine,1.83,right,2023-07-13,Jabal Al-Mokaber,16-Jul-05,4350.0,Bali United FC,1995-07-03,28.0
77,Ramdani Lestaluhu,Attacking Midfield,Indonesia,1.67,right,2022-05-10,Persija Jakarta,2024,1740.0,Bali United FC,1991-11-05,31.0
86,Tegar Infantrie,Defensive Midfield,Indonesia,1.75,right,2023-07-01,Persikabo 1973,-,2175.0,Bali United FC,1999-05-08,24.0
88,Muhammad Ridho,Goalkeeper,Indonesia,1.78,right,2022-05-01,Madura United FC,-,2610.0,Bali United FC,1991-01-21,32.0
91,Rahmat,Left Winger,Indonesia,1.73,right,2020-01-01,PSM Makassar,2024,1740.0,Bali United FC,1988-05-28,35.0
94,Jefferson,Centre-Forward,Brazil,1.85,-,2023-07-05,Gzira United FC,-,6960.0,Bali United FC,1994-10-21,28.0
1,Aqil Savik,Goalkeeper,Indonesia,1.86,right,2022-05-01,PERSIB Bandung,-,1740.0,Bhayangkara FC,1999-01-17,24.0
2,Alef,Centre-Back,Brazil,1.86,right,2023-07-20,Khon Kaen United,-,4350.0,Bhayangkara FC,1993-09-10,29.0
3,Abanda Rahman,Centre-Back,Indonesia,1.81,right,2023-07-01,Madura United FC,-,870.0,Bhayangkara FC,1990-08-24,32.0
4,Anderson Salles,Centre-Back,Brazil,1.81,right,2021-05-20,Paraná Clube,-,4350.0,Bhayangkara FC,1988-02-16,35.0
5,Fatchu Rochman,Left-Back,Indonesia,1.7,both,2014-11-01,Persekap Pasuruan,-,2175.0,Bhayangkara FC,1995-06-28,28.0
8,Muhammad Hargianto,Defensive Midfield,Indonesia,1.68,right,2014-11-11,Diklat Ragunan,-,3915.0,Bhayangkara FC,1996-07-24,26.0
10,Adam Najem,Defensive Midfield,Afghanistan,1.75,right,2022-07-11,New York Red Bulls II,14-May-23,3480.0,Bhayangkara FC,1995-01-19,28.0
11,Dylan De Bruycker,Defensive Midfield,Philippines,1.75,right,2023-07-01,Nakhonratchasima Mazda FC,-,2610.0,Bhayangkara FC,1997-12-05,25.0
12,Awan Setho,Goalkeeper,Indonesia,1.75,right,2017-01-01,Persip Pekalongan,-,3915.0,Bhayangkara FC,1997-03-19,26.0
13,Ichwan Tuharea,Attacking Midfield,Indonesia,1.71,right,2020-01-01,Bhayangkara FC Youth,-,870.0,Bhayangkara FC,2000-11-14,22.0
15,Surya Maulana,Centre-Back,Indonesia,1.81,right,2021-07-01,Bhayangkara FC Youth,-,435.0,Bhayangkara FC,2001-07-09,21.0
18,Crislan,Centre-Forward,Brazil,1.9,left,2023-07-06,Swat Cat,-,5220.0,Bhayangkara FC,1992-03-13,31.0
20,Sani Rizki,Right-Back,Indonesia,1.65,right,2018-03-01,Bhayangkara FC Youth,-,3480.0,Bhayangkara FC,1998-01-07,25.0
21,Titan Agung,Centre-Forward,Indonesia,1.76,right,2021-03-01,Arema FC,-,1740.0,Bhayangkara FC,2001-06-05,22.0
22,Dendy Sulistyawan,Centre-Forward,Indonesia,1.76,right,2017-01-01,Persela Lamongan,-,3915.0,Bhayangkara FC,1996-10-12,26.0
23,Wahyu Subo Seto,Attacking Midfield,Indonesia,1.68,right,2014-01-01,Surabaya United Youth,-,3480.0,Bhayangkara FC,1993-07-16,29.0
27,Indra Kahfi,Centre-Back,Indonesia,1.79,right,2016-04-05,Pusamania Borneo FC,-,435.0,Bhayangkara FC,1986-10-05,36.0
28,Alsan Sanda,Right-Back,Indonesia,1.72,right,2017-01-01,Bali United FC,-,2610.0,Bhayangkara FC,1992-08-01,30.0
29,Reza Kusuma,Attacking Midfield,Indonesia,1.71,right,2022-06-01,PS Mitra Kukar,-,870.0,Bhayangkara FC,2000-02-07,23.0
30,Indra Adi Nugraha,Goalkeeper,Indonesia,1.78,right,2018-02-01,Persiga Trenggalek,-,435.0,Bhayangkara FC,1993-10-08,29.0
31,Dimas Pamungkas,Central Midfield,Indonesia,1.74,left,2022-07-01,PERSIB Bandung,-,870.0,Bhayangkara FC,2004-07-31,18.0
33,Matías Mier,Attacking Midfield,Uruguay,1.82,left,2023-01-20,Independiente Santa Fe,-,7830.0,Bhayangkara FC,1990-08-02,32.0
41,Frezy AI Hudaifi,Defensive Midfield,Indonesia,1.65,left,2022-08-01,Bhayangkara FC Youth,-,1305.0,Bhayangkara FC,2004-04-21,19.0
43,Faiz Maulana,Centre-Forward,Indonesia,1.77,right,2022-08-01,PS Bina Taruna,-,435.0,Bhayangkara FC,2004-07-15,19.0
45,Fernando Surbay,Left Winger,Indonesia,1.7,left,2022-06-01,PS Palembang,31-Mar-23,174.0,Bhayangkara FC,2000-04-22,23.0
66,David Maulana,Central Midfield,Indonesia,1.69,left,2022-07-01,HNK Rijeka,15-Jun-24,1305.0,Bhayangkara FC,2002-02-25,21.0
98,Usman Diarra,Centre-Forward,Indonesia,1.8,right,2023-07-08,New Taipei City Hang Yuan FC,-,435.0,Bhayangkara FC,1998-01-31,25.0
99,Fandi Utomo,Attacking Midfield,Indonesia,1.76,right,2023-07-01,Without Club,-,2175.0,Bhayangkara FC,1991-03-02,32.0
1,Angga Saputro,Goalkeeper,Indonesia,1.8,left,2021-03-01,Persebaya Surabaya,28-Feb-23,3480.0,Borneo FC Samarinda,1993-11-30,29.0
4,Léo Lelis,Centre-Back,Brazil,1.89,both,2023-07-01,Persebaya Surabaya,14-May-24,4785.0,Borneo FC Samarinda,1993-11-15,29.0
6,Silvério,Centre-Back,Portugal,1.86,both,2023-07-01,FC Penafiel,30-Jun-24,3480.0,Borneo FC Samarinda,1995-12-26,27.0
8,Kei Hirose,Central Midfield,Japan,1.72,both,2021-12-15,Johor Darul Ta'zim II,14-Jun-26,5655.0,Borneo FC Samarinda,1995-11-20,27.0
9,Ahmad Nur Hardianto,Centre-Forward,Indonesia,1.78,right,2022-05-01,Persita Tangerang,30-Apr-24,3480.0,Borneo FC Samarinda,1995-03-06,28.0
10,Jelle Goselink,Centre-Forward,Netherlands,1.89,both,2023-07-01,Helmond Sport,-,3915.0,Borneo FC Samarinda,1999-07-31,23.0
12,Hendro Siswanto,Defensive Midfield,Indonesia,1.72,right,2021-03-01,Arema FC,28-Feb-23,3480.0,Borneo FC Samarinda,1990-03-12,33.0
13,Agung Prasetyo,Centre-Back,Indonesia,1.87,right,2022-05-01,Persita Tangerang,30-Apr-24,3045.0,Borneo FC Samarinda,1992-12-22,30.0
14,Stefano Lilipaly,Right Winger,Indonesia,1.75,right,2022-05-01,Bali United FC,30-Apr-24,5655.0,Borneo FC Samarinda,1990-01-10,33.0
15,Leo Guntara,Left-Back,Indonesia,1.71,left,2021-02-23,PSM Makassar,30-Apr-24,3045.0,Borneo FC Samarinda,1994-08-17,28.0
16,Komang Teguh,Defensive Midfield,Indonesia,1.76,right,2020-10-03,Diklat Ragunan,3-Oct-24,1740.0,Borneo FC Samarinda,2002-04-28,21.0
17,Ikhsanul Zikrak,Attacking Midfield,Indonesia,1.75,left,2023-07-01,RANS Nusantara FC,30-Apr-26,1305.0,Borneo FC Samarinda,2002-11-08,20.0
18,Taufany Muslihuddin,Attacking Midfield,Indonesia,1.71,right,2022-05-01,PS Mitra Kukar,30-Apr-25,1305.0,Borneo FC Samarinda,2002-03-24,21.0
19,Adam Alis,Left Winger,Indonesia,1.72,right,2023-01-26,Arema FC,27-Jan-25,4350.0,Borneo FC Samarinda,1993-12-19,29.0
22,Rizky Dwi,Right-Back,Indonesia,1.78,right,2023-07-01,Arema FC,30-Jun-24,3915.0,Borneo FC Samarinda,1997-02-22,26.0
23,Arya Gerryan,Right Winger,Indonesia,1.64,right,2020-02-06,Borneo FC Samarinda Youth,31-Dec-23,1305.0,Borneo FC Samarinda,2001-10-24,21.0
24,Diego Michiels,Right-Back,Indonesia,1.8,right,2022-05-01,Arema FC,30-Apr-24,2610.0,Borneo FC Samarinda,1990-08-08,32.0
25,Nadeo Argawinata,Goalkeeper,Indonesia,1.87,right,2023-07-01,Bali United FC,30-Apr-26,4785.0,Borneo FC Samarinda,1997-03-09,26.0
28,Terens Puhiri,Right Winger,Indonesia,1.67,right,2015-01-01,Persisam Putra Samarinda (- 2014),30-Apr-24,3480.0,Borneo FC Samarinda,1996-10-13,26.0
54,Alfharezzi Buffon,Centre-Back,Indonesia,1.72,-,2023-01-21,Borneo FC Samarinda Youth,30-Apr-27,174.0,Borneo FC Samarinda,2006-04-28,17.0
56,Fajar Fathur Rahman,Right-Back,Indonesia,1.7,right,2020-09-10,SSB ASAD 313 Jaya Perkasa,31-Dec-23,3480.0,Borneo FC Samarinda,2002-05-29,21.0
63,Daffa Fasya,Goalkeeper,Indonesia,1.84,-,2023-01-01,Borneo FC Samarinda Youth,5-Oct-24,435.0,Borneo FC Samarinda,2004-05-07,19.0
68,Hugo Samir,Right Winger,Indonesia,1.77,right,2023-07-01,PERSIS Solo Youth,1-Jun-24,174.0,Borneo FC Samarinda,2005-01-25,18.0
77,Abdul Rachman,Left-Back,Indonesia,1.69,left,2023-01-16,Bhayangkara FC,30-Apr-25,870.0,Borneo FC Samarinda,1988-01-30,35.0
81,Yogi Hermawan,Goalkeeper,Indonesia,1.85,right,2023-01-31,PS Barito Putera,30-Apr-25,435.0,Borneo FC Samarinda,2003-01-16,20.0
90,Muhammad Sihran,Left Winger,Indonesia,1.58,left,2018-09-01,Borneo FC Samarinda Youth,30-Apr-24,2610.0,Borneo FC Samarinda,1999-03-08,24.0
91,Felipe Cadenazzi,Centre-Forward,Argentina,1.91,left,2023-07-20,Magallanes CF,-,3915.0,Borneo FC Samarinda,1991-10-12,31.0
99,Win Naing Tun,Centre-Forward,Myanmar,1.82,right,2023-07-01,Yangon United,31-May-24,1740.0,Borneo FC Samarinda,2000-05-03,23.0
1,Muhammad Natshir,Goalkeeper,Indonesia,1.82,right,2022-04-01,PERSIB Bandung,2024,2610.0,Dewa United FC,1993-02-13,30.0
2,Mochammad Zaenuri,Centre-Back,Indonesia,1.82,right,2022-07-20,Persebaya Surabaya,20-Jul-23,3480.0,Dewa United FC,1995-06-10,28.0
3,Junior Eldstal,Centre-Back,Malaysia,1.91,right,2023-07-20,Johor Darul Ta'zim,31-Dec-23,2610.0,Dewa United FC,1991-09-16,31.0
4,Asep Berlian,Defensive Midfield,Indonesia,1.78,right,2022-04-07,Madura United FC,2024,1305.0,Dewa United FC,1990-07-11,32.0
5,Risto Mitrevski,Centre-Back,North Macedonia,1.87,both,2022-05-01,Without Club,30-Apr-24,3915.0,Dewa United FC,1991-10-05,31.0
6,Theo Numberi,Central Midfield,Indonesia,1.64,right,2022-06-01,Persipura Jayapura,2024,1740.0,Dewa United FC,2001-09-01,21.0
7,Feby Eka,Left Winger,Indonesia,1.83,both,2022-04-01,Arema FC,31-Mar-24,3045.0,Dewa United FC,1999-02-12,24.0
8,Nasir,Left-Back,Indonesia,1.7,left,2022-07-01,Persela Lamongan,2024,1740.0,Dewa United FC,1995-10-08,27.0
10,Egy Maulana Vikri,Right Winger,Indonesia,1.7,left,2023-01-30,ViOn Zlate Moravce-Vrable,-,3045.0,Dewa United FC,2000-07-07,22.0
11,Majed Osman,Attacking Midfield,Lebanon,1.83,right,2022-07-01,Al-Ansar FC,31-May-24,6090.0,Dewa United FC,1994-06-09,29.0
12,Henhen Herdiana,Right-Back,Indonesia,1.69,right,2023-07-01,PERSIB Bandung,1-Jul-24,3480.0,Dewa United FC,1995-09-10,27.0
13,Subhan Fajri,Left Winger,Indonesia,1.69,left,2022-04-01,Persiraja Banda Aceh,31-Mar-24,870.0,Dewa United FC,2003-05-13,20.0
14,Brian Fatari,Centre-Back,Indonesia,1.86,right,2023-01-04,Persipura Jayapura,-,1740.0,Dewa United FC,1999-12-20,23.0
15,Rangga Muslim,Attacking Midfield,Indonesia,1.66,both,2021-03-01,Bhayangkara FC,31-Mar-24,3915.0,Dewa United FC,1994-05-13,29.0
17,Ahmad Nufiandani,Right Winger,Indonesia,1.78,right,2023-07-01,Persebaya Surabaya,-,3045.0,Dewa United FC,1994-11-20,28.0
19,Ricky Kambuaya,Attacking Midfield,Indonesia,1.77,right,2022-04-05,Persib Bandung,-,4785.0,Dewa United FC,1996-05-05,27.0
22,Dimitrios Kolovos,Attacking Midfield,Greece,1.84,both,2023-07-01,Panetolikos GFS,2025,10440.0,Dewa United FC,1993-04-27,30.0
23,Ady Setiawan,Right-Back,Indonesia,1.67,right,2023-07-01,RANS Nusantara FC,-,3480.0,Dewa United FC,1994-09-10,28.0
24,Ichsan Kurniawan,Defensive Midfield,Indonesia,1.69,right,2022-04-01,Persija Jakarta,2024,2175.0,Dewa United FC,1995-12-24,27.0
28,Dennish,Attacking Midfield,Indonesia,1.69,right,2022-05-01,PS Mitra Kukar,30-Apr-24,435.0,Dewa United FC,2001-01-28,22.0
37,Alta Ballah,Left-Back,Indonesia,1.75,left,2023-07-01,Persebaya Surabaya,-,3480.0,Dewa United FC,2000-12-30,22.0
39,Alex,Centre-Forward,Brazil,1.87,right,2023-07-01,Bhayangkara FC,-,3045.0,Dewa United FC,1993-07-08,29.0
47,Agung Mannan,Centre-Back,Indonesia,1.75,left,2023-07-01,PSM Makassar,-,2175.0,Dewa United FC,1998-08-06,24.0
60,Yofandani Pranata,Goalkeeper,Indonesia,1.82,right,2023-07-01,PSIS Semarang,-,435.0,Dewa United FC,2001-04-09,22.0
71,Iqbal Al Ghuzat,Left-Back,Indonesia,1.66,right,2023-07-01,FC Bekasi City,-,2175.0,Dewa United FC,1999-02-17,24.0
87,Ahmad Rusadi,Centre-Back,Indonesia,1.8,right,2023-07-01,PSM Makassar,-,1305.0,Dewa United FC,2003-04-04,20.0
92,Sonny Stevens,Goalkeeper,Netherlands,1.94,right,2023-07-01,OFI Crete FC,-,7830.0,Dewa United FC,1992-06-22,31.0
99,Septian Bagaskara,Centre-Forward,Indonesia,1.83,both,2023-07-01,RANS Nusantara FC,-,3045.0,Dewa United FC,1997-09-26,25.0
2,Guntur Ariyadi,Right-Back,Indonesia,1.74,right,2016-04-01,PS Barito Putera,2024,435.0,Madura United FC,1987-03-16,36.0
4,Cleberson,Centre-Back,Brazil,1.85,right,2022-06-04,Ituano Futebol Clube (SP),2024,5655.0,Madura United FC,1992-08-17,30.0
5,Jacob Mahler,Centre-Back,Singapore,1.84,right,2023-07-01,military service (Singapore),-,1305.0,Madura United FC,2000-04-10,23.0
7,Francisco Rivera,Attacking Midfield,Mexico,1.7,left,2023-07-01,KF Llapi,-,5655.0,Madura United FC,1994-09-23,28.0
8,Hugo Gomes,Attacking Midfield,Brazil,1.78,left,2021-03-15,Kalmar FF,2024,6960.0,Madura United FC,1995-03-18,28.0
9,Beto,Centre-Forward,Indonesia,1.75,right,2022-01-03,PERSIS Solo,"Dec, 2023",435.0,Madura United FC,1980-12-31,42.0
10,Slamet Nurcahyono,Attacking Midfield,Indonesia,1.65,right,2016-02-01,Bhayangkara Surabaya United,2024,435.0,Madura United FC,1983-07-11,39.0
11,Lulinha,Left Winger,Brazil,1.7,right,2022-05-09,Without Club,2024,4350.0,Madura United FC,1990-04-10,33.0
15,Ricki Ariansyah,Defensive Midfield,Indonesia,1.67,left,2022-05-07,Persita Tangerang,2024,2610.0,Madura United FC,1997-06-10,26.0
16,Rendika Rama,Left-Back,Indonesia,1.78,left,2023-07-01,Arema FC,-,2175.0,Madura United FC,1993-03-16,30.0
17,Kevy Syahertian,Attacking Midfield,Indonesia,1.64,left,2019-07-01,Madura United FC Youth,-,1305.0,Madura United FC,1999-06-23,24.0
19,Fachruddin Aryanto,Centre-Back,Indonesia,1.85,right,2017-01-01,Sriwijaya FC,2024,3480.0,Madura United FC,1989-02-19,34.0
23,Bayu Gatra,Right Winger,Indonesia,1.67,right,2021-03-14,PSM Makassar,2024,1740.0,Madura United FC,1991-11-12,31.0
26,Novan Sasongko,Left-Back,Indonesia,1.7,right,2021-05-20,Persela Lamongan,2024,1305.0,Madura United FC,1989-11-26,33.0
27,Make Aldo Maulidino,Centre-Forward,Indonesia,1.7,right,2021-02-19,Without Club,2024,435.0,Madura United FC,1998-07-22,24.0
28,Kartika Vedhayanto,Right-Back,Indonesia,1.72,right,2023-07-01,PSIS Semarang,-,870.0,Madura United FC,2002-01-25,21.0
31,Yuda Editya Pratama,Centre-Forward,Indonesia,1.81,right,2023-07-01,Borneo FC Samarinda,31-Mar-24,435.0,Madura United FC,2004-05-31,19.0
32,Muhammad Tahir,Central Midfield,Indonesia,1.7,right,2023-07-01,Persipura Jayapura,-,2610.0,Madura United FC,1994-01-04,29.0
33,Koko Ari,Right-Back,Indonesia,1.78,right,2023-07-01,Persebaya Surabaya,-,3915.0,Madura United FC,2000-01-09,23.0
